Path,power_state_value,current_rise/fall_time_value (mS),current_stabilised_value (mA),current_max/min_value (mA)
OFF_4_20181102_125924_078.BMP,0,4.819,50.0,-32.1328
OFF_6_20181102_130154_078.BMP,0,4.627,50.0,-31.875
OFF_8_20181102_130442_078.BMP,0,7.838,50.0,-30.9531
OFF_10_20181102_130713_078.BMP,0,6.327,50.0,-31.2031
OFF_12_20181102_130945_078.BMP,0,7.952,49.9,-32.4375
OFF_2_20181207_100009_047.BMP,0,1.121,-69.3,-95.5859
OFF_4_20181207_100325_047.BMP,0,1.132,-68.0,-95.125
OFF_2_20181122_202158_065.BMP,0,1.387,0.0,-31.6641
OFF_4_20181122_202510_065.BMP,0,1.391,0.0,-31.4453
OFF_2_20181207_104815_091.BMP,0,7.996,41.3,14.4844
OFF_4_20181207_105123_091.BMP,0,7.983,41.1,14.0391
OFF_2_20181126_124457_062.BMP,0,1.166,-110.0,-151.1641
OFF_4_20181126_124810_062.BMP,0,1.226,-10.0,-44.7266
OFF_2_20181205_081322_054.BMP,0,-1.906,-50.0,-54.0859
OFF_4_20181205_081630_054.BMP,0,-1.906,-50.0,-53.3047
OFF_2_20181205_082043_053.BMP,0,-1.906,-250.0,-251.9297
OFF_4_20181205_082358_053.BMP,0,-1.906,-250.0,-251.9297
OFF_2_20181112_201917_098.BMP,0,8.0,49.3,-34.3281
OFF_4_20181112_202213_098.BMP,0,7.986,46.8,-32.5859
OFF_2_20181125_160610_038.BMP,0,7.566,-10.0,-38.8516
OFF_4_20181125_160855_038.BMP,0,1.284,-10.0,-41.9063
OFF_6_20181125_161140_038.BMP,0,3.232,-10.0,-45.5781
OFF_8_20181125_161445_038.BMP,0,7.346,-10.0,-44.2813
OFF_10_20181125_161731_038.BMP,0,8.0,-12.1,-46.6797
OFF_12_20181125_162016_038.BMP,0,7.999,-18.5,-46.7188
OFF_2_20181214_080211_007.BMP,0,1.328,0.0,-29.1016
OFF_4_20181214_080455_007.BMP,0,1.344,0.0,-29.625
OFF_6_20181214_080738_007.BMP,0,1.047,0.0,-27.5156
OFF_8_20181214_081040_007.BMP,0,1.328,0.1,-27.6328
OFF_10_20181214_081324_007.BMP,0,1.152,0.0,-26.4219
OFF_12_20181214_081607_007.BMP,0,1.031,0.0,-27.2891
OFF_2_20181125_165820_036.BMP,0,7.993,-16.3,-47.0078
OFF_4_20181125_170107_036.BMP,0,7.978,-11.0,-46.125
OFF_2_20181214_080211_031.BMP,0,6.798,-10.0,-39.1016
OFF_4_20181214_080455_031.BMP,0,1.344,-10.0,-39.625
OFF_6_20181214_080738_031.BMP,0,7.997,-8.9,-37.5156
OFF_8_20181214_081040_031.BMP,0,7.915,-9.3,-37.6328
OFF_10_20181214_081324_031.BMP,0,7.939,-9.5,-36.4219
OFF_12_20181214_081607_031.BMP,0,8.0,-8.4,-37.2891
OFF_2_20181205_084307_052.BMP,0,1.235,-52.5,-86.6719
OFF_4_20181205_084622_052.BMP,0,1.236,-56.9,-88.1328
OFF_2_20181112_102435_099.BMP,0,4.594,50.0,-30.6719
OFF_4_20181112_102731_099.BMP,0,4.499,50.0,-27.5781
OFF_2_20181204_175708_055.BMP,0,1.199,-60.0,-91.1641
OFF_4_20181204_180023_055.BMP,0,1.197,-60.0,-92.8828
OFF_2_20181126_114516_063.BMP,0,1.132,-180.0,-219.9844
OFF_4_20181126_114829_063.BMP,0,1.011,-250.0,-251.9297
OFF_2_20181125_180113_064.BMP,0,1.292,-20.0,-53.1719
OFF_4_20181125_180425_064.BMP,0,1.295,-20.0,-51.6172
OFF_2_20190408_141328_030.BMP,0,8.0,-2560.0,0.0
OFF_4_20190408_141651_030.BMP,0,8.0,-2560.0,0.0
OFF_6_20190408_142015_030.BMP,0,8.0,-2560.0,0.0
OFF_8_20190408_142401_030.BMP,0,8.0,-2560.0,0.0
OFF_2_20181129_201546_008.BMP,0,1.32,0.0,-35.1875
OFF_4_20181129_201835_008.BMP,0,1.15,0.0,-33.3984
OFF_6_20181129_202123_008.BMP,0,1.045,0.0,-33.8828
OFF_8_20181129_202430_008.BMP,0,1.314,0.0,-30.9531
OFF_10_20181129_202718_008.BMP,0,1.143,0.0,-32.6406
OFF_12_20181129_203006_008.BMP,0,1.037,0.0,-31.5078
OFF_2_20181125_163815_037.BMP,0,1.49,-10.0,-40.9141
OFF_4_20181125_164101_037.BMP,0,1.271,-10.0,-41.7813
OFF_6_20181125_164347_037.BMP,0,1.084,-10.0,-44.75
OFF_8_20181125_164652_037.BMP,0,7.991,-10.8,-45.9922
OFF_10_20181125_164938_037.BMP,0,8.0,-12.5,-46.0938
OFF_12_20181125_165225_037.BMP,0,7.968,-19.7,-47.4844
OFF_2_20181125_130105_039.BMP,0,6.701,-20.0,-20.5391
OFF_4_20181125_130345_039.BMP,0,7.947,-19.9,-19.5547
OFF_6_20181125_130627_039.BMP,0,7.873,-20.0,-19.5391
OFF_8_20181125_130926_039.BMP,0,7.985,-19.9,-19.1484
OFF_10_20181125_131208_039.BMP,0,7.985,-18.2,-18.8047
OFF_12_20181125_131448_039.BMP,0,7.999,-19.7,-20.5
OFF_2_20181125_160610_006.BMP,0,1.416,0.0,-28.8516
OFF_4_20181125_160855_006.BMP,0,1.284,0.0,-31.9063
OFF_6_20181125_161140_006.BMP,0,1.1032,0.0,-35.5781
OFF_8_20181125_161445_006.BMP,0,1.291,0.0,-34.2813
OFF_10_20181125_161731_006.BMP,0,1.119,0.0,-36.6797
OFF_12_20181125_162016_006.BMP,0,1.103,0.0,-26.7188
OFF_2_20181110_122833_100.BMP,0,4.411,75.8,-5.2422
OFF_4_20181110_123126_100.BMP,0,4.359,77.9,-4.7734
OFF_2_20181110_100012_101.BMP,0,4.515,70.0,-7.8594
OFF_4_20181110_100319_101.BMP,0,4.454,70.0,-6.2813
OFF_2_20181206_143036_089.BMP,0,1.301,50.0,3.7109
OFF_4_20181206_143342_089.BMP,0,1.128,50.0,18.9063
OFF_2_20181122_174119_042.BMP,0,8.0,-20.0,-58.6172
OFF_4_20181122_174405_042.BMP,0,8.0,2.8,-29.8984
OFF_6_20181122_174650_042.BMP,0,8.0,0.1,-31.5234
OFF_8_20181122_174955_042.BMP,0,6.129,0.0,-28.6953
OFF_10_20181122_175240_042.BMP,0,8.0,0.7,-29.0469
OFF_12_20181122_175526_042.BMP,0,8.0,0.3,-29.6797
OFF_2_20181214_114934_045.BMP,0,1.178,10.0,-22.3984
OFF_4_20181214_115243_045.BMP,0,1.19,10.0,-20.125
OFF_2_20181113_211731_074.BMP,0,7.924,49.7,-32.5547
OFF_4_20181113_212007_074.BMP,0,7.87,50.0,-33.1094
OFF_6_20181113_212243_074.BMP,0,7.987,48.4,-32.3516
OFF_8_20181113_212537_074.BMP,0,7.141,50.0,-31.6484
OFF_10_20181113_212813_074.BMP,0,7.415,50.0,-31.2969
OFF_12_20181113_213049_074.BMP,0,6.776,50.0,-32.3359
OFF_2_20181031_175901_080.BMP,0,7.997,30.0,-54.0
OFF_4_20181031_180134_080.BMP,0,7.991,30.0,-52.0
OFF_6_20181031_181010_080.BMP,0,7.99,30.0,-66.0
OFF_8_20181031_181515_080.BMP,0,7.999,40.0,-64.0
OFF_10_20181031_181748_080.BMP,0,7.999,30.0,-50.0
OFF_12_20181031_182023_080.BMP,0,7.993,40.0,-50.0
OFF_2_20181214_114934_020.BMP,0,1.178,0.0,-32.3984
OFF_4_20181214_115243_020.BMP,0,1.19,0.0,-30.125
OFF_2_20190425_142024_027.BMP,0,1.263,0.0,-37.5391
OFF_4_20190425_142351_027.BMP,0,1.233,-10.0,-44.4453
OFF_6_20190425_142717_027.BMP,0,7.689,-20.0,-53.1953
OFF_8_20190425_143106_027.BMP,0,1.263,-20.0,-55.5547
OFF_10_20190425_143433_027.BMP,0,1.101,-25.0,-59.9766
OFF_12_20190425_143759_027.BMP,0,7.805,-30.0,-60.3516
OFF_2_20181204_175708_018.BMP,0,1.199,0.0,-31.1641
OFF_4_20181204_180023_018.BMP,0,1.197,0.0,-32.8828
OFF_2_20181206_143800_011.BMP,0,1.3,0.0,15.1094
OFF_4_20181206_144106_011.BMP,0,1.28,0.0,14.7422
OFF_2_20181206_143519_016.BMP,0,1.082,0.0,-26.8906
OFF_4_20181206_143836_016.BMP,0,1.079,0.0,-25.0859
OFF_2_20190408_155203_029.BMP,0,1.339,-20.0,-56.3672
OFF_4_20190408_155526_029.BMP,0,1.086,-20.0,-57.8906
OFF_6_20190408_155848_029.BMP,0,0.991,-25.0,-61.8125
OFF_8_20190408_160234_029.BMP,0,1.428,-30.0,-62.3438
OFF_10_20190408_160556_029.BMP,0,1.246,-30.0,-62.5391
OFF_12_20190408_160918_029.BMP,0,6.784,-30.0,-63.2891
OFF_2_20181112_184406_075.BMP,0,4.666,40.0,-38.7969
OFF_4_20181112_184638_075.BMP,0,4.476,40.0,-38.5078
OFF_6_20181112_184909_075.BMP,0,4.336,40.0,-38.8984
OFF_8_20181112_185200_075.BMP,0,4.557,40.0,-36.3984
OFF_10_20181112_185431_075.BMP,0,4.396,40.0,-35.8047
OFF_12_20181112_185703_075.BMP,0,4.259,40.0,-36.0313
OFF_2_20181116_205906_072.BMP,0,4.788,50.0,-30.2813
OFF_4_20181116_210143_072.BMP,0,4.617,50.0,-31.0547
OFF_6_20181116_210420_072.BMP,0,4.483,50.0,-30.8281
OFF_8_20181116_210716_072.BMP,0,4.726,50.0,-29.4063
OFF_10_20181116_210953_072.BMP,0,4.619,50.0,-29.5547
OFF_12_20181116_211230_072.BMP,0,4.456,50.0,-28.5625
OFF_2_20190403_195209_086.BMP,0,1.268,-35.0,-72.0938
OFF_4_20190403_195518_086.BMP,0,1.111,-35.0,-72.7188
OFF_6_20190403_195827_086.BMP,0,0.992,-35.0,-72.8828
OFF_8_20190403_200157_086.BMP,0,1.269,-35.0,-70.9688
OFF_10_20190403_200506_086.BMP,0,1.102,-30.0,-69.6484
OFF_12_20190403_200815_086.BMP,0,0.988,-35.0,-70.0625
OFF_2_20181214_194147_044.BMP,0,1.335,10.0,-20.0469
OFF_4_20181214_194455_044.BMP,0,1.333,10.0,-17.8281
OFF_2_20181206_143800_088.BMP,0,1.3,50.0,20.1094
OFF_4_20181206_144106_088.BMP,0,1.28,50.0,19.7422
OFF_2_20190313_165329_043.BMP,0,8.0,-2560.0,0.0
OFF_4_20190313_165712_043.BMP,0,8.0,-2560.0,0.0
OFF_2_20181207_100009_017.BMP,0,1.121,0.0,-35.5859
OFF_4_20181207_100325_017.BMP,0,1.132,0.0,-35.125
OFF_2_20190424_192428_028.BMP,0,1.234,95.0,58.0469
OFF_4_20190424_192749_028.BMP,0,1.053,90.0,56.2266
OFF_6_20190424_193110_028.BMP,0,0.934,90.0,59.3281
OFF_8_20190424_193453_028.BMP,0,1.208,90.0,58.1484
OFF_10_20190424_193814_028.BMP,0,1.072,95.0,59.6563
OFF_12_20190424_194135_028.BMP,0,0.953,95.0,57.6875
OFF_2_20181129_201546_010.BMP,0,1.32,0.0,-35.1875
OFF_4_20181129_201835_010.BMP,0,1.15,0.0,-33.3984
OFF_6_20181129_202123_010.BMP,0,1.045,0.0,-33.8828
OFF_8_20181129_202430_010.BMP,0,1.314,0.0,-30.9531
OFF_10_20181129_202718_010.BMP,0,1.143,0.0,-32.6406
OFF_12_20181129_203006_010.BMP,0,1.037,0.0,-31.5078
OFF_2_20190425_215704_026.BMP,0,1.235,-30.0,-64.0234
OFF_4_20190425_220024_026.BMP,0,1.181,-30.0,-64.8359
OFF_6_20190425_220344_026.BMP,0,0.971,-30.0,-64.7813
OFF_8_20190425_220727_026.BMP,0,1.24,-30.0,-63.6328
OFF_10_20190425_221047_026.BMP,0,1.04,-30.0,-65.5234
OFF_12_20190425_221407_026.BMP,0,0.966,-30.0,-64.5938
OFF_2_20181126_130957_019.BMP,0,1.355,0.0,-32.0313
OFF_4_20181126_131304_019.BMP,0,1.15,0.0,-35.0469
OFF_2_20190514_132256_021.BMP,0,8.0,-2560.0,0.0
OFF_4_20190514_132624_021.BMP,0,8.0,-2560.0,0.0
OFF_6_20190514_132953_021.BMP,0,8.0,-2560.0,0.0
OFF_8_20190514_133344_021.BMP,0,8.0,-2560.0,0.0
OFF_10_20190514_133713_021.BMP,0,8.0,-2560.0,0.0
OFF_12_20190514_134041_021.BMP,0,8.0,-2560.0,0.0
OFF_2_20190509_172301_003.BMP,0,1.311,20.0,-24.5547
OFF_4_20190509_172629_003.BMP,0,1.12,0.0,-37.4531
OFF_6_20190509_172957_003.BMP,0,1.006,-10.0,-51.4141
OFF_8_20190509_173348_003.BMP,0,1.334,-15.0,-59.4531
OFF_10_20190509_173716_003.BMP,0,1.142,-20.0,-65.8281
OFF_12_20190509_174044_003.BMP,0,1.009,-30.0,-71.5156
OFF_2_20181213_141458_004.BMP,0,1.433,0.0,-29.6953
OFF_4_20181213_141746_004.BMP,0,1.187,0.0,-32.7266
OFF_6_20181213_142033_004.BMP,0,1.0435,0.0,-33.7344
OFF_8_20181213_142340_004.BMP,0,1.292,0.0,-33.5547
OFF_10_20181213_142628_004.BMP,0,1.125,0.0,-34.1641
OFF_12_20181213_142916_004.BMP,0,1.1829,0.0,-26.3828
OFF_2_20181213_141458_032.BMP,0,1.433,0.0,-29.6953
OFF_4_20181213_141746_032.BMP,0,1.187,0.0,-32.7266
OFF_6_20181213_142033_032.BMP,0,2.435,0.0,-33.7344
OFF_8_20181213_142340_032.BMP,0,8.0,-2.2,-33.5547
OFF_10_20181213_142628_032.BMP,0,8.0,-0.3,-34.1641
OFF_12_20181213_142916_032.BMP,0,7.999,-9.4,-36.3828
OFF_2_20181126_093856_061.BMP,0,-1.906,-10.0,-11.8594
OFF_4_20181126_094202_061.BMP,0,-1.906,-10.0,-12.4766
OFF_2_20190524_214520_066.BMP,0,1.412,0.0,-32.6406
OFF_4_20190524_214841_066.BMP,0,1.202,0.0,-34.4844
OFF_6_20190524_215203_066.BMP,0,1.126,0.0,-33.6016
OFF_8_20190524_215549_066.BMP,0,1.417,0.0,-31.1172
OFF_10_20190524_215911_066.BMP,0,1.279,0.0,-32.1797
OFF_12_20190524_220233_066.BMP,0,1.143,0.0,-32.7656
OFF_2_20181207_093313_092.BMP,0,1.189,50.0,17.2813
OFF_4_20181207_093620_092.BMP,0,1.317,40.0,11.0469
OFF_2_20181126_110156_059.BMP,0,1.02,-228.9,-251.9297
OFF_4_20181126_110508_059.BMP,0,-1.906,-250.0,-251.9297
OFF_2_20181206_143519_050.BMP,0,1.082,-60.0,-86.8906
OFF_4_20181206_143836_050.BMP,0,1.079,-60.0,-85.0859
OFF_2_20181126_130957_057.BMP,0,1.355,-10.0,-42.0313
OFF_4_20181126_131304_057.BMP,0,7.24,-10.0,-45.0469
OFF_2_20190524_184423_068.BMP,0,1.453,0.0,-32.8438
OFF_4_20190524_184751_068.BMP,0,1.123,0.0,-34.6172
OFF_6_20190524_185119_068.BMP,0,0.982,0.0,-36.9688
OFF_8_20190524_185512_068.BMP,0,1.415,0.0,-32.1953
OFF_10_20190524_185840_068.BMP,0,1.115,0.0,-33.8203
OFF_12_20190524_190207_068.BMP,0,1.006,0.0,-33.6016
OFF_2_20181129_201546_034.BMP,0,1.32,-60.0,-95.1875
OFF_4_20181129_201835_034.BMP,0,1.15,-60.0,-93.3984
OFF_6_20181129_202123_034.BMP,0,1.045,-60.0,-93.8828
OFF_8_20181129_202430_034.BMP,0,1.314,-60.0,-90.9531
OFF_10_20181129_202718_034.BMP,0,1.143,-60.0,-92.6406
OFF_12_20181129_203006_034.BMP,0,1.037,-60.0,-91.5078
OFF_2_20181213_094342_033.BMP,0,-1.906,0.0,-2.3359
OFF_4_20181213_094624_033.BMP,0,-1.906,0.0,-2.3359
OFF_6_20181213_094907_033.BMP,0,-1.906,0.0,-2.4609
OFF_8_20181213_095209_033.BMP,0,-1.906,0.0,-2.2188
OFF_10_20181213_095452_033.BMP,0,-1.906,0.0,-2.2734
OFF_12_20181213_095735_033.BMP,0,-1.906,0.0,-2.5781
OFF_2_20181129_184031_005.BMP,0,1.345,0.0,35.5703
OFF_4_20181129_184313_005.BMP,0,1.189,0.0,32.7656
OFF_6_20181129_184555_005.BMP,0,1.072,0.0,29.8906
OFF_8_20181129_184856_005.BMP,0,1.356,0.0,30.7813
OFF_10_20181129_185138_005.BMP,0,1.199,0.0,29.6875
OFF_12_20181129_185420_005.BMP,0,1.072,0.0,29.7656
OFF_2_20181204_075229_056.BMP,0,1.2,-70.0,-102.1719
OFF_4_20181204_075543_056.BMP,0,1.194,-70.0,-102.4531
OFF_2_20190524_143454_069.BMP,0,7.583,0.0,-31.2969
OFF_4_20190524_143822_069.BMP,0,7.28,0.0,-31.3438
OFF_6_20190524_144150_069.BMP,0,1.166,0.0,-32.0469
OFF_8_20190524_144543_069.BMP,0,1.441,0.0,-33.1953
OFF_10_20190524_144911_069.BMP,0,1.24,0.0,-32.2734
OFF_12_20190524_145238_069.BMP,0,1.002,0.0,-34.4922
OFF_2_20181206_140321_051.BMP,0,0.962,-190.0,-219.7422
OFF_4_20181206_140632_051.BMP,0,0.955,-190.0,-219.1484
OFF_2_20181207_005225_093.BMP,0,7.969,40.9,13.4922
OFF_4_20181207_005526_093.BMP,0,7.976,40.8,14.5469
OFF_2_20190524_205037_067.BMP,0,1.418,0.0,-31.7031
OFF_4_20190524_205359_067.BMP,0,1.26,0.0,-33.7969
OFF_6_20190524_205721_067.BMP,0,1.123,0.0,-33.8984
OFF_8_20190524_210107_067.BMP,0,1.415,0.0,-31.3359
OFF_10_20190524_210429_067.BMP,0,1.269,0.0,-31.5078
OFF_12_20190524_210751_067.BMP,0,1.13,0.0,-31.8281
OFF_2_20181126_112347_058.BMP,0,1.026,-240.0,-251.9297
OFF_4_20181126_112659_058.BMP,0,-1.906,-250.0,-251.9297
OFF_2_20181126_103843_060.BMP,0,-1.906,-10.0,-11.8672
OFF_4_20181126_104155_060.BMP,0,-1.906,-10.0,-10.9453
OFF_2_20181116_230430_094.BMP,0,7.999,49.7,-32.6875
OFF_4_20181116_230732_094.BMP,0,4.654,50.0,-31.3047
OFF_2_20181105_201841_115.BMP,0,4.528,30.0,-50.2969
OFF_4_20181105_202125_115.BMP,0,4.461,30.0,-49.0391
OFF_2_20181117_171513_114.BMP,0,7.973,41.1,-35.8047
OFF_4_20181117_171814_114.BMP,0,7.955,40.2,-34.2891
OFF_2_20181113_232240_113.BMP,0,4.533,50.0,-28.7578
OFF_4_20181113_232541_113.BMP,0,4.517,50.0,-27.4766

